Library Folder,Symbol
MCU_Texas.kicad_sym,"""LM3S6911-EQC50"""
MCU_Texas.kicad_sym,"""LM3S6911-EQC50_0_1"""
MCU_Texas.kicad_sym,"""LM3S6911-EQC50_1_1"""
MCU_Texas.kicad_sym,"""LM3S6911-IQC50"""
MCU_Texas.kicad_sym,"""MSP432E401Y"""
MCU_Texas.kicad_sym,"""MSP432E401Y_1_1"""
MCU_Texas.kicad_sym,"""TM4C1230C3PM"""
MCU_Texas.kicad_sym,"""TM4C1230C3PM_0_1"""
MCU_Texas.kicad_sym,"""TM4C1230C3PM_1_1"""
MCU_Texas.kicad_sym,"""LM4F111B2QR"""
MCU_Texas.kicad_sym,"""LM4F111C4QR"""
MCU_Texas.kicad_sym,"""LM4F111E5QR"""
MCU_Texas.kicad_sym,"""LM4F111H5QR"""
MCU_Texas.kicad_sym,"""TM4C1230D5PM"""
MCU_Texas.kicad_sym,"""TM4C1230E6PM"""
MCU_Texas.kicad_sym,"""TM4C1230H6PM"""
MCU_Texas.kicad_sym,"""TM4C1231C3PM"""
MCU_Texas.kicad_sym,"""TM4C1231C3PM_0_1"""
MCU_Texas.kicad_sym,"""TM4C1231C3PM_1_1"""
MCU_Texas.kicad_sym,"""LM4F110B2QR"""
MCU_Texas.kicad_sym,"""LM4F110C4QR"""
MCU_Texas.kicad_sym,"""LM4F110E5QR"""
MCU_Texas.kicad_sym,"""LM4F110H5QR"""
MCU_Texas.kicad_sym,"""TM4C1231D5PM"""
MCU_Texas.kicad_sym,"""TM4C1231E6PM"""
MCU_Texas.kicad_sym,"""TM4C1231H6PM"""
MCU_Texas.kicad_sym,"""TMS320LF2406"""
MCU_Texas.kicad_sym,"""TMS320LF2406_0_1"""
MCU_Texas.kicad_sym,"""TMS320LF2406_1_1"""
MCU_Texas.kicad_sym,"""TMS470R1B768"""
MCU_Texas.kicad_sym,"""TMS470R1B768_0_1"""
MCU_Texas.kicad_sym,"""TMS470R1B768_1_1"""
CPLD_Altera.kicad_sym,"""EP1210"""
CPLD_Altera.kicad_sym,"""EP1210_0_1"""
CPLD_Altera.kicad_sym,"""EP1210_1_1"""
CPLD_Altera.kicad_sym,"""EP1810"""
CPLD_Altera.kicad_sym,"""EP1810_0_1"""
CPLD_Altera.kicad_sym,"""EP1810_1_1"""
CPLD_Altera.kicad_sym,"""EP300"""
CPLD_Altera.kicad_sym,"""EP300_0_1"""
CPLD_Altera.kicad_sym,"""EP300_1_1"""
CPLD_Altera.kicad_sym,"""EP310"""
CPLD_Altera.kicad_sym,"""EP320"""
CPLD_Altera.kicad_sym,"""EP320_0_1"""
CPLD_Altera.kicad_sym,"""EP320_1_1"""
CPLD_Altera.kicad_sym,"""EP600"""
CPLD_Altera.kicad_sym,"""EP600_0_1"""
CPLD_Altera.kicad_sym,"""EP600_1_1"""
CPLD_Altera.kicad_sym,"""EP910"""
CPLD_Altera.kicad_sym,"""EP910_0_1"""
CPLD_Altera.kicad_sym,"""EP910_1_1"""
CPLD_Altera.kicad_sym,"""EPM1270F256"""
CPLD_Altera.kicad_sym,"""EPM1270F256_1_1"""
CPLD_Altera.kicad_sym,"""EPM1270F256_2_1"""
CPLD_Altera.kicad_sym,"""EPM1270M256"""
CPLD_Altera.kicad_sym,"""EPM1270M256_1_1"""
CPLD_Altera.kicad_sym,"""EPM1270M256_2_1"""
CPLD_Altera.kicad_sym,"""EPM1270T144"""
CPLD_Altera.kicad_sym,"""EPM1270T144_1_1"""
CPLD_Altera.kicad_sym,"""EPM1270T144_2_1"""
CPLD_Altera.kicad_sym,"""EPM2210F256"""
CPLD_Altera.kicad_sym,"""EPM2210F256_1_1"""
CPLD_Altera.kicad_sym,"""EPM2210F256_2_1"""
CPLD_Altera.kicad_sym,"""EPM2210F324"""
CPLD_Altera.kicad_sym,"""EPM2210F324_1_1"""
CPLD_Altera.kicad_sym,"""EPM2210F324_2_1"""
CPLD_Altera.kicad_sym,"""EPM240F100"""
CPLD_Altera.kicad_sym,"""EPM240F100_1_1"""
CPLD_Altera.kicad_sym,"""EPM240M100"""
CPLD_Altera.kicad_sym,"""EPM240M100_1_1"""
CPLD_Altera.kicad_sym,"""EPM240T100"""
CPLD_Altera.kicad_sym,"""EPM240T100_1_1"""
CPLD_Altera.kicad_sym,"""EPM240ZM100"""
CPLD_Altera.kicad_sym,"""EPM240ZM100_1_1"""
CPLD_Altera.kicad_sym,"""EPM240ZM68"""
CPLD_Altera.kicad_sym,"""EPM240ZM68_1_1"""
CPLD_Altera.kicad_sym,"""EPM570F100"""
CPLD_Altera.kicad_sym,"""EPM570F100_1_1"""
CPLD_Altera.kicad_sym,"""EPM570F256"""
CPLD_Altera.kicad_sym,"""EPM570F256_1_1"""
CPLD_Altera.kicad_sym,"""EPM570M100"""
CPLD_Altera.kicad_sym,"""EPM570M100_1_1"""
CPLD_Altera.kicad_sym,"""EPM570M256"""
CPLD_Altera.kicad_sym,"""EPM570M256_1_1"""
CPLD_Altera.kicad_sym,"""EPM570T100"""
CPLD_Altera.kicad_sym,"""EPM570T100_1_1"""
CPLD_Altera.kicad_sym,"""EPM570T144"""
CPLD_Altera.kicad_sym,"""EPM570T144_1_1"""
CPLD_Altera.kicad_sym,"""EPM570ZM100"""
CPLD_Altera.kicad_sym,"""EPM570ZM100_1_1"""
CPLD_Altera.kicad_sym,"""EPM570ZM144"""
CPLD_Altera.kicad_sym,"""EPM570ZM144_1_1"""
CPLD_Altera.kicad_sym,"""EPM570ZM256"""
CPLD_Altera.kicad_sym,"""EPM570ZM256_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG484"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG484_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG484_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG484_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG484_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG484_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG484_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG484_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FBG676_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K160T-FFG676_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG676_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_8_1"""
